ID,Region,INCAS_Start,INCAS_End,DLR_Start,DLR_End,EMPA_Start,EMPA_End
1,R6,10/01/2019 11:00:40,10/01/2019 13:54:30,10/01/2019 11:01:00,10/01/2019 13:54:29,10/01/2019 11:01:00,10/01/2019 13:54:40
2,R7,10/02/2019 10:04:50,10/02/2019 12:36:30,10/02/2019 10:06:00,10/02/2019 12:35:59,10/02/2019 10:06:00,10/02/2019 12:36:00
3,R4,10/03/2019 08:27:40,10/03/2019 11:07:03,10/03/2019 08:27:59,10/03/2019 11:07:00,10/03/2019 08:28:00,10/03/2019 11:07:20
4,R5a,10/03/2019 13:13:51,10/03/2019 14:49:54,10/03/2019 13:13:59,10/03/2019 14:49:29,10/03/2019 13:14:20,10/03/2019 14:50:00
5,R4,10/06/2019 07:38:28,10/06/2019 11:14:57,10/06/2019 07:38:30,10/06/2019 11:14:30,10/06/2019 07:39:00,10/06/2019 11:15:00
6,R5a,10/07/2019 10:19:15,10/07/2019 13:58:25,10/07/2019 10:19:29,10/07/2019 13:57:59,10/07/2019 10:19:40,10/07/2019 13:58:40
7,R7,10/09/2019 07:22:30,10/09/2019 09:53:37,10/09/2019 07:23:29,10/09/2019 09:53:30,10/09/2019 07:23:00,10/09/2019 09:53:40
8,R11,10/10/2019 08:59:52,10/10/2019 10:57:44,10/10/2019 09:00:00,10/10/2019 10:57:29,10/10/2019 09:00:20,10/10/2019 10:58:00
9,R8,10/11/2019 09:03:49,10/11/2019 11:37:19,10/11/2019 09:03:59,10/11/2019 11:37:00,10/11/2019 09:04:20,10/11/2019 11:37:20
10,R6,10/12/2019 09:34:09,10/12/2019 11:20:56,10/12/2019 09:34:29,10/12/2019 11:20:29,10/12/2019 09:34:40,10/12/2019 11:21:00
11,R8,14/10/2019 09:32:58.459,14/10/2019 12:04:31.423,14/10/2019 09:33:00,14/10/2019 12:04:29,14/10/2019 09:33:20,14/10/2019 12:04:40
12,R16,17/10/2019 10:28:11.611,17/10/2019 11:01:58.042,17/10/2019 10:28:30,17/10/2019 11:01:30,17/10/2019 10:28:40,17/10/2019 11:02:00
13,R15,17/10/2019 11:03:33.815,17/10/2019 12:27:36.420,17/10/2019 11:03:59,17/10/2019 12:27:29,17/10/2019 11:04:00,17/10/2019 12:27:40
14,R6R7,23/10/2019 09:21:09.000,23/10/2019 13:45:15.000,23/10/2019 09:22:00,23/10/2019 13:44:00,23/10/2019 09:22:00,23/10/2019 13:44:00
